12932KALI ALI20211201000010912/01/21 00:00:31  5-MIN KALI 010600Z AUTO 18003KT 1SM BR CLR 13/13 A3012 0 100 -200 170/03 RMK AO2 T01280128
12932KALI ALI20211201000511112/01/21 00:05:31  5-MIN KALI 010605Z AUTO 00000KT 1/2SM FG CLR 13/13 A3011 0 100 -100 000/00 RMK AO2 T01330133
12932KALI ALI20211201001010812/01/21 00:10:31  5-MIN KALI 010610Z AUTO 00000KT 1/2SM FG CLR 14/14 A3011 0 100 0 000/00 RMK AO2 T01390139
12932KALI ALI20211201001511112/01/21 00:15:31  5-MIN KALI 010615Z AUTO 00000KT 1/2SM FG CLR 13/13 A3011 0 100 -100 000/00 RMK AO2 T01330133
12932KALI ALI20211201002011112/01/21 00:20:31  5-MIN KALI 010620Z AUTO 00000KT 1/2SM FG CLR 13/13 A3011 0 100 -100 000/00 RMK AO2 T01330133
12932KALI ALI20211201002510812/01/21 00:25:31  5-MIN KALI 010625Z AUTO 00000KT 1/2SM FG CLR 14/14 A3011 0 100 0 000/00 RMK AO2 T01390139
12932KALI ALI20211201003011112/01/21 00:30:31  5-MIN KALI 010630Z AUTO 00000KT 1/2SM FG CLR 13/13 A3011 0 100 -100 000/00 RMK AO2 T01330133
12932KALI ALI20211201003511212/01/21 00:35:31  5-MIN KALI 010635Z AUTO 00000KT 1/4SM FG CLR 13/13 A3011 10 100 -200 000/00 RMK AO2 T01280128
12932KALI ALI20211201004011212/01/21 00:40:31  5-MIN KALI 010640Z AUTO 00000KT 1/4SM FG CLR 12/12 A3011 10 100 -300 000/00 RMK AO2 T01170117
12932KALI ALI20211201004511212/01/21 00:45:31  5-MIN KALI 010645Z AUTO 00000KT 1/4SM FG CLR 12/12 A3011 10 100 -300 000/00 RMK AO2 T01170117
12932KALI ALI20211201005011912/01/21 00:50:31  5-MIN KALI 010650Z AUTO 00000KT 1/4SM FG CLR 12/12 A3010 10 100 -200 000/00 RMK AO2 SLP192 T01220122
12932KALI ALI20211201005511212/01/21 00:55:31  5-MIN KALI 010655Z AUTO 15003KT 1/4SM FG CLR 12/12 A3010 10 100 -200 150/03 RMK AO2 T01220122
12932KALI ALI20211201010011212/01/21 01:00:31  5-MIN KALI 010700Z AUTO 15003KT 1/4SM FG CLR 12/12 A3010 20 100 -200 140/03 RMK AO2 T01220122
12932KALI ALI20211201010511312/01/21 01:05:31  5-MIN KALI 010705Z AUTO 14003KT 1/4SM FG VV003 12/12 A3010 10 96 -200 130/03 RMK AO2 T01220117
12932KALI ALI20211201011011312/01/21 01:10:31  5-MIN KALI 010710Z AUTO 15003KT 1/4SM FG VV003 12/12 A3010 20 96 -200 150/03 RMK AO2 T01220117
12932KALI ALI20211201011511412/01/21 01:15:31  5-MIN KALI 010715Z AUTO 16003KT 1/4SM FG VV003 12/12 A3009 20 100 -200 150/03 RMK AO2 T01220122
12932KALI ALI20211201012011312/01/21 01:20:31  5-MIN KALI 010720Z AUTO 00000KT 1/2SM FG VV003 13/13 A3009 20 96 -100 000/00 RMK AO2 T01330128
12932KALI ALI20211201012511412/01/21 01:25:31  5-MIN KALI 010725Z AUTO 00000KT 1/2SM FG VV003 13/13 A3009 20 100 -100 000/00 RMK AO2 T01280128
12932KALI ALI20211201013011712/01/21 01:30:31  5-MIN KALI 010730Z AUTO 00000KT 1 3/4SM BR FEW003 13/13 A3009 20 100 -100 000/00 RMK AO2 T01280128
12932KALI ALI20211201013511312/01/21 01:35:31  5-MIN KALI 010735Z AUTO 20003KT 1/2SM FG VV003 13/13 A3009 20 96 -100 200/03 RMK AO2 T01330128
12932KALI ALI20211201014011012/01/21 01:40:31  5-MIN KALI 010740Z AUTO 00000KT 1/2SM FG VV003 14/13 A3009 20 96 0 000/00 RMK AO2 T01390133
12932KALI ALI20211201014510912/01/21 01:45:31  5-MIN KALI 010745Z AUTO 00000KT 1SM BR VV003 14/14 A3009 20 100 0 000/00 RMK AO2 T01390139
12932KALI ALI20211201015013412/01/21 01:50:31  5-MIN KALI 010750Z AUTO 00000KT 1 1/4SM BR BKN003 13/13 A3009 20 100 -100 000/00 RMK AO2 VIS 1/2V3 SLP188 T01330133
12932KALI ALI20211201015512212/01/21 01:55:31  5-MIN KALI 010755Z AUTO 00000KT 1SM BR VV003 12/12 A3009 20 100 -300 000/00 RMK AO2 VIS 1/2V3 T01170117
12932KALI ALI20211201020012112/01/21 02:00:31  5-MIN KALI 010800Z AUTO 00000KT 1SM BR VV003 12/11 A3010 20 96 -300 000/00 RMK AO2 VIS 1/2V3 T01170111
12932KALI ALI20211201020511412/01/21 02:05:31  5-MIN KALI 010805Z AUTO 00000KT 1/2SM FG VV002 12/12 A3009 20 100 -300 000/00 RMK AO2 T01170117
12932KALI ALI20211201021011312/01/21 02:10:31  5-MIN KALI 010810Z AUTO 00000KT 1/4SM FG VV002 13/12 A3009 20 96 -100 000/00 RMK AO2 T01280122
12932KALI ALI20211201021511412/01/21 02:15:31  5-MIN KALI 010815Z AUTO 00000KT 1/4SM FG VV002 12/12 A3009 20 100 -200 000/00 RMK AO2 T01220122
12932KALI ALI20211201022011412/01/21 02:20:31  5-MIN KALI 010820Z AUTO 00000KT 1/4SM FG VV002 12/12 A3009 20 100 -200 000/00 RMK AO2 T01220122
12932KALI ALI20211201022511412/01/21 02:25:31  5-MIN KALI 010825Z AUTO 00000KT 1/2SM FG VV002 13/13 A3009 20 100 -100 000/00 RMK AO2 T01280128
12932KALI ALI20211201023011412/01/21 02:30:31  5-MIN KALI 010830Z AUTO 00000KT 1/2SM FG VV002 13/13 A3009 20 100 -100 000/00 RMK AO2 T01280128
12932KALI ALI20211201023511412/01/21 02:35:31  5-MIN KALI 010835Z AUTO 00000KT 1/2SM FG VV002 13/13 A3009 20 100 -100 000/00 RMK AO2 T01280128
12932KALI ALI20211201024011312/01/21 02:40:31  5-MIN KALI 010840Z AUTO 00000KT 3/4SM BR VV003 13/13 A3009 20 96 -100 000/00 RMK AO2 T01330128
12932KALI ALI20211201024511712/01/21 02:45:31  5-MIN KALI 010845Z AUTO 00000KT 1 3/4SM BR BKN003 13/13 A3009 30 100 -100 000/00 RMK AO2 T01280128
12932KALI ALI20211201025010312/01/21 02:50:31  5-MIN KALI 010850Z AUTO 00000KT 5SM BR SCT003 12/12 A3009 30 100 -200 000/00 RMK AO2
12932KALI ALI20211201025511712/01/21 02:55:31  5-MIN KALI 010855Z AUTO 00000KT 2 1/2SM BR SCT003 11/11 A3009 20 100 -300 000/00 RMK AO2 T01110111
12932KALI ALI20211201030011412/01/21 03:00:31  5-MIN KALI 010900Z AUTO 00000KT 3/4SM BR VV003 11/11 A3009 20 100 -300 000/00 RMK AO2 T01110111
12932KALI ALI20211201030511412/01/21 03:05:31  5-MIN KALI 010905Z AUTO 00000KT 1/4SM FG VV003 11/11 A3009 20 100 -300 000/00 RMK AO2 T01110111
12932KALI ALI20211201031011412/01/21 03:10:31  5-MIN KALI 010910Z AUTO 00000KT 1/4SM FG VV003 11/11 A3009 20 100 -400 000/00 RMK AO2 T01060106
12932KALI ALI20211201031511412/01/21 03:15:31  5-MIN KALI 010915Z AUTO 00000KT 1/4SM FG VV003 11/11 A3009 20 100 -300 000/00 RMK AO2 T01110111
12932KALI ALI20211201032011412/01/21 03:20:31  5-MIN KALI 010920Z AUTO 00000KT 1/4SM FG VV003 11/11 A3009 20 100 -400 000/00 RMK AO2 T01060106
12932KALI ALI20211201032511312/01/21 03:25:31  5-MIN KALI 010925Z AUTO 00000KT 1/4SM FG VV003 11/11 A3009 20 96 -300 000/00 RMK AO2 T01110106
12932KALI ALI20211201033011412/01/21 03:30:31  5-MIN KALI 010930Z AUTO 00000KT 1/2SM FG VV003 11/11 A3009 20 100 -300 000/00 RMK AO2 T01110111
12932KALI ALI20211201033511412/01/21 03:35:31  5-MIN KALI 010935Z AUTO 00000KT 1/2SM FG VV002 11/11 A3009 20 100 -300 000/00 RMK AO2 T01110111
12932KALI ALI20211201034011412/01/21 03:40:31  5-MIN KALI 010940Z AUTO 00000KT 1/2SM FG VV002 11/11 A3009 20 100 -400 000/00 RMK AO2 T01060106
12932KALI ALI20211201034511412/01/21 03:45:31  5-MIN KALI 010945Z AUTO 00000KT 1/4SM FG VV002 11/11 A3009 20 100 -400 000/00 RMK AO2 T01060106
12932KALI ALI20211201035010412/01/21 03:50:31  5-MIN KALI 010950Z AUTO 00000KT 1/4SM FG VV002 11/11 A3009 20 100 -400 000/00 RMK AO2
12932KALI ALI20211201035511412/01/21 03:55:31  5-MIN KALI 010955Z AUTO 00000KT 1/4SM FG VV002 11/11 A3009 20 100 -400 000/00 RMK AO2 T01060106
12932KALI ALI20211201040011412/01/21 04:00:31  5-MIN KALI 011000Z AUTO 00000KT 1/4SM FG VV002 11/11 A3009 20 100 -400 000/00 RMK AO2 T01060106
12932KALI ALI20211201040511412/01/21 04:05:31  5-MIN KALI 011005Z AUTO 00000KT 1/4SM FG VV002 11/11 A3009 20 100 -300 000/00 RMK AO2 T01110111
12932KALI ALI20211201041011412/01/21 04:10:31  5-MIN KALI 011010Z AUTO 00000KT 1/2SM FG VV002 11/11 A3009 20 100 -400 000/00 RMK AO2 T01060106
12932KALI ALI20211201041511312/01/21 04:15:31  5-MIN KALI 011015Z AUTO 00000KT 1/4SM FG VV002 11/11 A3009 20 96 -300 000/00 RMK AO2 T01110106
